"genre","avgVote","income"
"Crime, Drama, Thriller",6,39280992
"Drama, Romance",5.2,1914090
"Biography, Drama, Thriller",8,233555708
"Action, Adventure",5.4,7455398
"Comedy",5.6,169837010
"Comedy, Romance",4.9,100375432
"Action, Adventure, Drama",7.6,710644566
"Action, Adventure, Drama",5.8,161502194
"Action, Adventure, Sci-Fi",5.6,1104054072
"Comedy, Crime",6.3,107645357
"Comedy, Drama",7.2,54837234
"Comedy, Drama",6.2,4510934
"Action, Drama, Thriller",6.2,53260230
"Comedy, Drama, History",6.1,156706638
"Action, Biography, Drama",7.3,547426372
"Adventure, Comedy, Drama",5.9,212902372
"Adventure, Family, Sci-Fi",5.8,45681062
"Biography, Drama",7.5,1862114
"Comedy, Romance",6,196710396
"Drama, Thriller",5.2,17534314
"Action, Drama, Sci-Fi",6.3,103039258
"Drama, Sport",6.8,29824199
"Horror, Mystery, Thriller",5.1,17835162
"Comedy, Romance",5.8,70181428
"Animation, Action, Adventure",7.8,657868146
"Adventure, Drama, History",6.3,1232140
"Drama, Sport",6.7,30138754
"Adventure, Drama, Thriller",6.4,4070789
"Animation, Adventure, Comedy",7.3,99783556
"Action, Crime, Thriller",8,6566916
"Drama, Mystery, Thriller",8.1,369330363
"Adventure, Comedy, Crime",8.1,172940046
"Adventure, Comedy, Crime",6.4,80383113
"Action, Comedy, Crime",7,331333876
"Biography, Drama",7.1,52501541
"Adventure, Fantasy",7.4,956019788
"Drama, Romance",6.3,34718173
"Drama, Horror",6.8,10312540
"Drama, Music",5.2,2840991
"Action, Adventure, Thriller",6.1,214657577
"Drama, Horror, Thriller",4.8,48854305
"Action, Crime, Drama",6.4,2510007
"Animation, Adventure, Comedy",6.3,498781117
"Action, Crime, Thriller",6.4,203277636
"Horror, Mystery, Thriller",6.2,87937815
"Drama, Western",6.6,3819421
"Action, Thriller",6.3,39661919
"Action, Thriller",6,326479141
"Comedy, Drama",5.3,16365451
"Comedy, Drama, Romance",5.8,25419147
"Action, Drama, Fantasy",3.1,27405896
"Biography, Drama, Music",6.9,33448971
"Horror, Mystery, Thriller",5,90894962
"Biography, Drama, History",6.8,22179785
"Drama, Fantasy, Western",6.4,1253774
"Crime, Drama, History",6.5,6760531
"Drama",4.7,64676349
"Action, Comedy, History",4.8,26033917
"Comedy, Western",6.1,87189756
"Comedy, Drama",7.7,103215094
"Drama, Music",8.5,48983260
"Drama, Romance",7.7,307166834
"Drama, Music, Romance",6,86165646
"Biography, Drama",7.4,3396345
"Adventure, Comedy, Family",6.2,363204635
"Biography, Drama",6.3,21026290
"Action, Drama, War",7.6,211822697
"Drama, Western",6.7,1363964
"Drama",7.3,9016922
"Biography, Drama",6.6,3171593
"Horror, Mystery, Thriller",4.1,36921560
"Crime, Drama, Mystery",6.8,3485383
"Comedy, Romance",6.4,26117471
"Comedy, Drama, Romance",6.4,4644525
"Action, Adventure, Comedy",6.5,11782625
"Action, Adventure, Horror",4.6,16861137
"Action, Adventure, Comedy",7.7,414351546
"Comedy, Fantasy",4.7,25358716
"Action, Comedy, Horror",6.9,1187477
"Horror, Mystery, Thriller",6.2,41898409
"Comedy, Drama",6.7,5670776
"Comedy, Drama, Romance",6.5,51029361
"Crime, Drama, Thriller",7.9,47398992
"Action, Sci-Fi, Thriller",6.4,458863600
"Drama",6.6,21833967
"Adventure, Comedy, Drama",7.3,48428048
"Drama",7.1,1828232
"Comedy, Drama, Romance",6.4,10606667
"Drama, Mystery, Sci-Fi",6.1,2595622
"Action, Crime, Thriller",7.4,86081711
"Crime, Drama",6.1,2537899
"Comedy, Drama",6.2,3679847
"Action, Crime, Thriller",7.1,12062441
"Drama, War, Western",7.2,1010485
"Action, Crime, Drama",7,12007070
"Action, Crime, Thriller",6.5,24070765
"Action, Adventure, Horror",6.4,111928365
"Drama, Family",6.4,57824533
"Biography, Drama, Romance",7.7,123726688
"Action, Crime, Drama",6.7,2700051
"Comedy, Drama",7.3,89514453
"Animation, Adventure, Comedy",6,146965787
"Biography, Comedy, Drama",6.5,17998703
"Drama, History, War",7,38176317
"Comedy, Drama, Thriller",8.1,30642704
"Comedy",5.4,10536956
"Drama",6.5,2827212
"Comedy, Drama, Horror",5.3,1882074
"Drama, Music, Romance",6.9,14618727
"Comedy, Drama",6.7,1705908
"Biography, Drama, History",5.7,70829270
"Horror, Mystery, Thriller",6.8,21528593
"Drama",7.5,44779195
"Horror, Mystery, Thriller",5.4,257047661
"Comedy, Drama, Romance",6.7,39178695
"Comedy, Horror",7.7,6946808
"Drama",6.4,2433850
"Horror, Mystery, Thriller",5.5,62882090
"Drama, Romance",6.3,1448076
"Comedy, Family",1.4,2783970
"Action, Adventure, Sci-Fi",7,1670401444
"Action, Adventure, Comedy",7.3,519311965
"Biography, Drama",7.2,12252684
"Biography, Drama, Romance",7.1,64191523
"Comedy",6.6,79799880
