imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0313792,Anything Else,Anything Else,2003,10/3/2003,"Comedy, Romance",108,"USA, France, UK","English, Latin",Woody Allen,Woody Allen,DreamWorks,"Woody Allen, Jason Biggs, Fisher Stevens, Anthony Arkin, Danny DeVito, Christina Ricci, KaDee Strickland, Jimmy Fallon, Diana Krall, William Hill, Stockard Channing, Maurice Sonnenberg, Kenneth Edelson, David Conrad, Joseph Lyle Taylor",Jerry Falk (,6.3,29339,"$18,000,000 ","$3,212,310 ",13585075.00,43,166,106
tt0106627,La ragazza della porta accanto,The Crush,1993,4/2/1993,"Drama, Thriller",89,USA,English,Alan Shapiro,Alan Shapiro,Morgan Creek Entertainment,"Cary Elwes, Alicia Silverstone, Jennifer Rubin, Kurtwood Smith, Amber Benson, Gwynyth Walsh, Matthew Walker, Deborah Hancock, Beverley Elliott, Andrew Airlie, Sheila Paterson, Brent Chapman, James Kidnie, Betty Phillips, Duncan Fraser","A journalist becomes the unwanted center of attention for a 14-year-old girl, who proceeds to sabotage his life after he refuses her sexual advances.",5.9,16024,"$6,000,000 ","$13,609,396 ",13609396.00,34,88,40
tt0815244,Sydney White - Biancaneve al college,Sydney White,2007,9/21/2007,"Comedy, Drama, Romance",108,USA,English,Joe Nussbaum,Chad Gomez Creasey,Morgan Creek Entertainment,"Amanda Bynes, Sara Paxton, Matt Long, Jack Carpenter, Jeremy Howard, Crystal Hunt, Adam Hendershott, Danny Strong, Samm Levine, Libby Mintz, John Schneider, Arnie Pantoja, Dontรฉ Bonner, Brian Patrick Clarke, Lauren Leech",A modern retelling of Snow White set against students in their freshman year of college in the greek system.,6.2,45476,"$16,500,000 ","$11,892,415 ",13620075.00,45,57,71
tt2017038,All Is Lost - Tutto รจ perduto,All Is Lost,2013,2/6/2014,"Action, Adventure, Drama",106,USA,English,J.C. Chandor,J.C. Chandor,Roadside Attractions,Robert Redford,"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.",6.9,74976,"$9,000,000 ","$6,263,670 ",13627519.00,87,396,370
tt1352824,Chloe - Tra seduzione e inganno,Chloe,2009,3/12/2010,"Drama, Mystery, Romance",96,"USA, Canada, France",English,Atom Egoyan,"Erin Cressida Wilson, Anne Fontaine",StudioCanal,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Mishu Vellani, Julie Khaner, Laura de Carteret, Natalie Lisinska, Tiffany Lyndall-Knight, Meghan Heffern, Tamsen McDonough, Kathryn Kriitmaa, Arlene Duncan","Suspecting her husband of infidelity, gynecologist Dr. Catherine Stewart hires an escort named Chloe in order to test his faithfulness. Soon, the relationships between all three intensify.",6.3,68304,"$14,000,000 ","$3,075,255 ",13657649.00,48,191,222
tt0244000,Gli ultimi fuorilegge,American Outlaws,2001,3/1/2002,"Action, Western",94,USA,English,Les Mayfield,"Roderick Taylor, Roderick Taylor",Morgan Creek Entertainment,"Colin Farrell, Scott Caan, Ali Larter, Gabriel Macht, Gregory Smith, Harris Yulin, Kathy Bates, Timothy Dalton, Will McCormack, Ronny Cox, Terry O'Quinn, Nathaniel Arcand, Ty O'Neal, Joe Stevens, Barry Tubb",5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,6,13782,"$35,000,000 ","$13,342,790 ",13678913.00,25,169,44
tt9779516,Cosa mi lasci di te,I Still Believe,2020,3/19/2020,"Biography, Drama, Music",116,USA,English,"Andrew Erwin, Jon Erwin","Jeremy Camp, Jon Erwin",Kevin Downes Productions,"K.J. Apa, Britt Robertson, Nathan Parsons, Gary Sinise, Shania Twain, Reuben Dodd, Nicolas Bechtel, Melissa Roxburgh, Terry Serpico, Tanya Christiansen, Cameron Arnett, Abigail Cowen, Rushi Birudala, Anjelah Johnson-Reyes, Mike McGill",The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,6.5,6196,"$12,000,000 ","$9,868,521 ",13681524.00,41,151,52
tt0113987,Gli intrighi del potere - Nixon,Nixon,1995,3/29/1996,"Biography, Drama, History",192,USA,"English, Mandarin, Russian",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson",Cinergi Pictures Entertainment,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins, E.G. Marshall, David Paymer, David Hyde Pierce, Paul Sorvino, Mary Steenburgen, J.T. Walsh, James Woods, Brian Bedford, Kevin Dunn, Fyvush Finkel",A biographical story of former U.S. President,7.1,28317,"$44,000,000 ","$13,681,765 ",13681765.00,66,171,79
tt0430431,Una notte con il re,One Night with the King,2006,10/13/2006,"Biography, Drama, History",123,USA,English,Michael O. Sajbel,"Stephan Blinn, Mark Andrew Olsen",Gener8Xion Entertainment,"Tiffany Dupont, Luke Goss, John Noble, Omar Sharif, John Rhys-Davies, Tommy 'Tiny' Lister, James Callis, Peter O'Toole, Javen Campbell, Jyoti Dogra, Indraneel Bhattacharya, Jonah Lotan, Dilshad Patel, Nimrat Kaur, Takesh Singh","In Biblical times, a girl disguises her Jewish origins when the Persian king comes looking for a new bride among his subjects.",6.1,6663,"$20,000,000 ","$13,395,961 ",13728450.00,38,182,37
tt0213790,The Ladies Man,The Ladies Man,2000,10/13/2000,Comedy,84,USA,English,Reginald Hudlin,"Tim Meadows, Dennis McNicholas",Broadway Pictures,"Tim Meadows, Karyn Parsons, Billy Dee Williams, John Witherspoon, Jill Talley, Lee Evans, Will Ferrell, Sofia Milos, Eugene Levy, David Huband, Jammer, Ken Hudson Campbell, Kevin McDonald, Tamala Jones, Julianne Moore",The,5.2,12293,"$24,000,000 ","$13,616,610 ",13743212.00,22,86,56
