"genre","avg_vote","income"
"Crime, Drama, Thriller",6,39.281
"Drama, Romance",5.2,1.914
"Biography, Drama, Thriller",8,233.556
"Action, Adventure",5.4,7.455
"Comedy",5.6,169.837
"Comedy, Romance",4.9,100.375
"Action, Adventure, Drama",7.6,710.645
"Action, Adventure, Drama",5.8,161.502
"Action, Adventure, Sci-Fi",5.6,1104.054
"Comedy, Crime",6.3,107.645
"Comedy, Drama",7.2,54.837
"Comedy, Drama",6.2,4.511
"Action, Drama, Thriller",6.2,53.260
"Comedy, Drama, History",6.1,156.707
"Action, Biography, Drama",7.3,547.426
"Adventure, Comedy, Drama",5.9,212.902
"Adventure, Family, Sci-Fi",5.8,45.681
"Biography, Drama",7.5,1.862
"Comedy, Romance",6,196.710
"Drama, Thriller",5.2,17.534
"Action, Drama, Sci-Fi",6.3,103.039
"Drama, Sport",6.8,29.824
"Horror, Mystery, Thriller",5.1,17.835
"Comedy, Romance",5.8,70.181
"Animation, Action, Adventure",7.8,657.868
"Adventure, Drama, History",6.3,1.232
"Drama, Sport",6.7,30.139
"Adventure, Drama, Thriller",6.4,4.071
"Animation, Adventure, Comedy",7.3,99.784
"Action, Crime, Thriller",8,6.567
"Drama, Mystery, Thriller",8.1,369.330
"Adventure, Comedy, Crime",8.1,172.940
"Adventure, Comedy, Crime",6.4,80.383
"Action, Comedy, Crime",7,331.334
"Biography, Drama",7.1,52.502
"Adventure, Fantasy",7.4,956.020
"Drama, Romance",6.3,34.718
"Drama, Horror",6.8,10.313
"Drama, Music",5.2,2.841
"Action, Adventure, Thriller",6.1,214.658
"Drama, Horror, Thriller",4.8,48.854
"Action, Crime, Drama",6.4,2.510
"Animation, Adventure, Comedy",6.3,498.781
"Action, Crime, Thriller",6.4,203.278
"Horror, Mystery, Thriller",6.2,87.938
"Drama, Western",6.6,3.819
"Action, Thriller",6.3,39.662
"Action, Thriller",6,326.479
"Comedy, Drama",5.3,16.365
"Comedy, Drama, Romance",5.8,25.419
"Action, Drama, Fantasy",3.1,27.406
"Biography, Drama, Music",6.9,33.449
"Horror, Mystery, Thriller",5,90.895
"Biography, Drama, History",6.8,22.180
"Drama, Fantasy, Western",6.4,1.254
